,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
AO-MLP,20.8,9.964381008817803,0.9105263157894736,0.052109168210398724,0.9124677784719296,0.05595727853254383,0.9011136586963643,0.04747247668776537,0.9045359367866842,0.05304860482843479,0.9011136586963643,0.04747247668776537,0.9124677784719296,0.05595727853254383
AOA-MLP,20.8,9.964381008817803,0.8947368421052632,0.08145256302446856,0.9032818497122431,0.07623213597854045,0.8875204716672126,0.07403781854644644,0.8880680819368436,0.08185254206951738,0.8875204716672126,0.07403781854644644,0.9032818497122431,0.07623213597854045
ARO-MLP,20.8,9.964381008817803,0.962280701754386,0.011732399209203997,0.9605742028587299,0.014324506568084356,0.9596298722567965,0.01035253917922963,0.9598850255283308,0.012210692395499588,0.9596298722567965,0.01035253917922963,0.9605742028587299,0.014324506568084356
ASO-MLP,20.8,9.964381008817803,0.9412280701754385,0.021105359570314165,0.944715743083484,0.023677971761925178,0.930805764821487,0.023159406900824867,0.9365269817363853,0.022769112654885595,0.930805764821487,0.023159406900824867,0.944715743083484,0.023677971761925178
GA-MLP,20.8,9.964381008817803,0.9631578947368421,0.013589415249850611,0.9605665790561361,0.015399391207947415,0.9617097936455945,0.01383791561752651,0.9608808031682388,0.01438166748776248,0.9617097936455945,0.01383791561752651,0.9605665790561361,0.015399391207947415
GBO-MLP,20.8,9.964381008817803,0.9640350877192982,0.020024437038905225,0.9636060226418547,0.0223336706822318,0.9601211922698984,0.020974108636409715,0.9616180934474612,0.021322147522361782,0.9601211922698984,0.020974108636409715,0.9636060226418547,0.0223336706822318
HPSO-TVAC-MLP,20.8,9.964381008817803,0.9596491228070176,0.011095711088310103,0.9568994480836587,0.011708394756046604,0.9575171962004585,0.01237261530941079,0.9570859634801117,0.011826850324960024,0.9575171962004585,0.01237261530941079,0.9568994480836587,0.011708394756046604
JADE-MLP,20.8,9.964381008817803,0.9675438596491228,0.0083217833162326,0.9645345295103264,0.01002376742887273,0.9670651817884048,0.008118654736423115,0.965582758031454,0.008735456599681,0.9670651817884048,0.008118654736423115,0.9645345295103264,0.01002376742887273
L-SHADE-MLP,20.8,9.964381008817803,0.9666666666666668,0.01420462900759195,0.9643539031528702,0.015419648269713516,0.964985260399607,0.014962307593396501,0.9645641378603301,0.015063591536045005,0.964985260399607,0.014962307593396501,0.9643539031528702,0.015419648269713516
P-PSO-MLP,20.8,9.964381008817803,0.9333333333333333,0.026218142422760125,0.9316878902484991,0.02860703462145294,0.9263019980347199,0.027532220001584895,0.9286643744001072,0.027911910958607962,0.9263019980347199,0.027532220001584895,0.9316878902484991,0.02860703462145294
PSO-MLP,20.8,9.964381008817803,0.9666666666666666,0.006919391559180868,0.9642298283883962,0.009291888407347538,0.9654438257451687,0.006010974826291476,0.9646104279369017,0.007191838968614255,0.9654438257451687,0.006010974826291476,0.9642298283883962,0.009291888407347538
RW-GWO-MLP,20.8,9.964381008817803,0.9640350877192982,0.011286701207964217,0.9611477823843815,0.013648972377501272,0.9628725843432688,0.010652697147413195,0.961842973433809,0.011882181370493931,0.9628725843432688,0.010652697147413195,0.9611477823843815,0.013648972377501272
SMA-MLP,20.8,9.964381008817803,0.9657894736842106,0.016253733461622566,0.9657620822240928,0.018587884295729603,0.9615296429741237,0.01634116361025926,0.963471453236852,0.017249769005724724,0.9615296429741237,0.01634116361025926,0.9657620822240928,0.018587884295729603
WOA-MLP,20.8,9.964381008817803,0.8719298245614034,0.045335783493132886,0.8680484328984287,0.046345473285737696,0.8637078283655419,0.05422201900105346,0.8626878638115294,0.050295161935519965,0.8637078283655419,0.05422201900105346,0.8680484328984287,0.046345473285737696
