,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
ASGD-MLP,20.8,9.964381008817803,0.9740740740740741,0.017890588575542578,0.9574603174603175,0.028810159468129988,0.9666666666666668,0.02300218531141185,0.9598709398682352,0.02789538079916225,0.9813852813852814,0.012884394962127645,0.9801677646025473,0.013323827165664414
Adadelta-MLP,20.8,9.964381008817803,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Adagrad-MLP,20.8,9.964381008817803,0.9888888888888889,0.009562921842487382,0.9777777777777776,0.019125843684974976,0.9857142857142858,0.012295185226055187,0.9808278867102397,0.01650072788507637,0.9928571428571429,0.006147592613027685,0.9913043478260869,0.007484025789772753
Adam-MLP,20.8,9.964381008817803,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
GD-MLP,20.8,9.964381008817803,0.6,0.07366140192679654,0.28235953016632526,0.23931178073961443,0.3821428571428571,0.06537389796892411,0.2597991086171066,0.12104554409077224,0.6915584415584416,0.03455679657959033,0.6168537277618583,0.18935477712190554
RMSprop-MLP,20.8,9.964381008817803,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
