model_name,seed,AS,PS,RS,F1S,SS,NPV
GD-MLP,15,0.48148148148148157,0.07407407407407407,0.3333333333333333,0.1212121212121212,0.6666666666666666,0.40740740740740744
GD-MLP,12,0.7222222222222223,0.8275862068965517,0.5178571428571429,0.49112833763996555,0.7727272727272728,0.8444444444444444
GD-MLP,21,0.648148148148148,0.37602627257799676,0.4047619047619047,0.3447766703580657,0.712121212121212,0.7272395548257617
GD-MLP,10,0.5925925925925926,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.6666666666666666,0.46296296296296297
GD-MLP,18,0.5925925925925926,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.6666666666666666,0.46296296296296297
GD-MLP,11,0.5925925925925926,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.6666666666666666,0.46296296296296297
GD-MLP,24,0.6296296296296297,0.4705882352941176,0.4166666666666667,0.3277777777777778,0.6969696969696969,0.8115468409586057
GD-MLP,30,0.6481481481481483,0.3958333333333333,0.4583333333333333,0.3695652173913044,0.7153679653679653,0.8182870370370371
GD-MLP,25,0.611111111111111,0.2165242165242165,0.35714285714285715,0.26231884057971017,0.685064935064935,0.76331569664903
GD-MLP,42,0.48148148148148157,0.07407407407407407,0.3333333333333333,0.1212121212121212,0.6666666666666666,0.40740740740740744
Adadelta-MLP,10,1.0,1.0,1.0,1.0,1.0,1.0
Adadelta-MLP,11,1.0,1.0,1.0,1.0,1.0,1.0
Adadelta-MLP,12,1.0,1.0,1.0,1.0,1.0,1.0
Adadelta-MLP,15,1.0,1.0,1.0,1.0,1.0,1.0
Adadelta-MLP,21,1.0,1.0,1.0,1.0,1.0,1.0
Adadelta-MLP,18,1.0,1.0,1.0,1.0,1.0,1.0
Adadelta-MLP,24,1.0,1.0,1.0,1.0,1.0,1.0
Adadelta-MLP,25,1.0,1.0,1.0,1.0,1.0,1.0
RMSprop-MLP,10,1.0,1.0,1.0,1.0,1.0,1.0
RMSprop-MLP,11,1.0,1.0,1.0,1.0,1.0,1.0
Adadelta-MLP,30,1.0,1.0,1.0,1.0,1.0,1.0
Adadelta-MLP,42,1.0,1.0,1.0,1.0,1.0,1.0
RMSprop-MLP,12,1.0,1.0,1.0,1.0,1.0,1.0
RMSprop-MLP,15,1.0,1.0,1.0,1.0,1.0,1.0
RMSprop-MLP,18,1.0,1.0,1.0,1.0,1.0,1.0
RMSprop-MLP,21,1.0,1.0,1.0,1.0,1.0,1.0
RMSprop-MLP,24,1.0,1.0,1.0,1.0,1.0,1.0
RMSprop-MLP,25,1.0,1.0,1.0,1.0,1.0,1.0
RMSprop-MLP,30,1.0,1.0,1.0,1.0,1.0,1.0
RMSprop-MLP,42,1.0,1.0,1.0,1.0,1.0,1.0
Adam-MLP,10,1.0,1.0,1.0,1.0,1.0,1.0
Adam-MLP,11,1.0,1.0,1.0,1.0,1.0,1.0
Adam-MLP,15,1.0,1.0,1.0,1.0,1.0,1.0
Adam-MLP,12,1.0,1.0,1.0,1.0,1.0,1.0
Adam-MLP,18,1.0,1.0,1.0,1.0,1.0,1.0
Adam-MLP,21,1.0,1.0,1.0,1.0,1.0,1.0
Adam-MLP,24,1.0,1.0,1.0,1.0,1.0,1.0
Adam-MLP,25,1.0,1.0,1.0,1.0,1.0,1.0
Adam-MLP,30,1.0,1.0,1.0,1.0,1.0,1.0
Adam-MLP,42,1.0,1.0,1.0,1.0,1.0,1.0
ASGD-MLP,10,0.9629629629629629,0.9391534391534391,0.9523809523809524,0.9442369540408757,0.972943722943723,0.9703557312252965
ASGD-MLP,11,0.9629629629629629,0.9391534391534391,0.9523809523809524,0.9442369540408757,0.972943722943723,0.9703557312252965
ASGD-MLP,12,1.0,1.0,1.0,1.0,1.0,1.0
ASGD-MLP,15,0.9629629629629629,0.9407407407407407,0.9523809523809524,0.9432568783481562,0.972943722943723,0.9722222222222222
ASGD-MLP,18,1.0,1.0,1.0,1.0,1.0,1.0
ASGD-MLP,21,0.9814814814814815,0.9629629629629629,0.9761904761904763,0.9680464778503994,0.9880952380952381,0.9855072463768115
ASGD-MLP,24,0.9629629629629629,0.9407407407407407,0.9523809523809524,0.9432568783481562,0.972943722943723,0.9722222222222222
ASGD-MLP,25,0.9814814814814815,0.9777777777777779,0.9761904761904763,0.9761600681140911,0.9848484848484849,0.9855072463768115
ASGD-MLP,30,0.9814814814814815,0.9629629629629629,0.9761904761904763,0.9680464778503994,0.9880952380952381,0.9855072463768115
Adagrad-MLP,10,0.9814814814814815,0.9629629629629629,0.9761904761904763,0.9680464778503994,0.9880952380952381,0.9855072463768115
ASGD-MLP,42,0.9444444444444443,0.9111111111111111,0.9285714285714285,0.9114687100893998,0.961038961038961,0.96
Adagrad-MLP,11,1.0,1.0,1.0,1.0,1.0,1.0
Adagrad-MLP,12,1.0,1.0,1.0,1.0,1.0,1.0
Adagrad-MLP,15,0.9814814814814815,0.9629629629629629,0.9761904761904763,0.9680464778503994,0.9880952380952381,0.9855072463768115
Adagrad-MLP,18,1.0,1.0,1.0,1.0,1.0,1.0
Adagrad-MLP,21,0.9814814814814815,0.9629629629629629,0.9761904761904763,0.9680464778503994,0.9880952380952381,0.9855072463768115
Adagrad-MLP,24,0.9814814814814815,0.9629629629629629,0.9761904761904763,0.9680464778503994,0.9880952380952381,0.9855072463768115
Adagrad-MLP,25,1.0,1.0,1.0,1.0,1.0,1.0
Adagrad-MLP,42,0.9814814814814815,0.9629629629629629,0.9761904761904763,0.9680464778503994,0.9880952380952381,0.9855072463768115
Adagrad-MLP,30,0.9814814814814815,0.9629629629629629,0.9761904761904763,0.9680464778503994,0.9880952380952381,0.9855072463768115
