model_name,seed,AS,PS,RS,F1S,SS,NPV
GD-MLP,11,0.5700000000000001,0.2767863765149155,0.34222267692010383,0.19360123832631068,0.6713185933647009,0.7541072938454008
GD-MLP,21,0.6013333333333334,0.28028142763954894,0.403296343119352,0.31135351240589776,0.7007400163381196,0.7355561844745068
GD-MLP,12,0.5593333333333333,0.113,0.3333333333333333,0.16878267363704258,0.6666666666666666,0.4463333333333333
GD-MLP,18,0.5433333333333333,0.105,0.3333333333333333,0.1596958174904943,0.6666666666666666,0.4383333333333333
GD-MLP,15,0.5433333333333333,0.17584992041776204,0.33295409364773526,0.16728535994137214,0.6663206768008215,0.7006166103331725
GD-MLP,10,0.572,0.3004347933957143,0.3714848132260788,0.289913453262834,0.683939354510437,0.709953053312684
GD-MLP,25,0.5466666666666667,0.16754850088183423,0.33824975417895775,0.17225281530458644,0.6686933828049368,0.7701262002743484
GD-MLP,24,0.5746666666666667,0.31883483405714047,0.37504972581447077,0.28663992358004614,0.6865704680547843,0.7200271123548031
GD-MLP,42,0.594,0.3003376304481277,0.4016949946153486,0.3221035444233172,0.7016177656061927,0.7000575439720288
GD-MLP,30,0.5433333333333333,0.105,0.3333333333333333,0.1596958174904943,0.6666666666666666,0.4383333333333333
Adadelta-MLP,11,0.9093333333333334,0.8642052909805985,0.8652896899149903,0.8641255440914467,0.9321306959059369,0.9321151955540131
Adadelta-MLP,10,0.9113333333333333,0.8673744373820171,0.8675864555244575,0.8668692537917714,0.9336003747202005,0.9336799147325463
Adadelta-MLP,12,0.9093333333333334,0.8643400197957322,0.865135200896621,0.8640069156022979,0.932212164747707,0.9321566244259957
Adadelta-MLP,18,0.9133333333333334,0.8706623700767208,0.8701172822815874,0.8698920495760762,0.9349218327884611,0.935208807929532
Adadelta-MLP,15,0.9073333333333333,0.861141070475319,0.861795526151759,0.8611268176521255,0.9305824997421946,0.930479632485103
Adadelta-MLP,21,0.9133333333333334,0.8699075237617141,0.8702319852353102,0.8697235243158562,0.9350764214184819,0.9351342422502653
Adadelta-MLP,24,0.9093333333333332,0.8644709448155221,0.864960818845928,0.8638711024766037,0.9322259113624539,0.9322410827739261
Adadelta-MLP,25,0.9126666666666666,0.8692050064172827,0.8700270734697048,0.8689610832741668,0.9346643989480125,0.934660969505768
RMSprop-MLP,10,0.9153333333333333,0.8745899940867261,0.8742001986055389,0.8729138026508151,0.936753694152253,0.936974461561401
RMSprop-MLP,11,0.9053333333333334,0.8581652570117217,0.859010745214643,0.8580044422463704,0.9291486632109441,0.9291194377174072
Adadelta-MLP,42,0.91,0.8651185134554215,0.8651047794431088,0.8649838339716872,0.9324882373407744,0.9324558994698614
Adadelta-MLP,30,0.9126666666666666,0.868934238989881,0.8696279407517834,0.8688410025670624,0.9346236645271274,0.934618921749291
RMSprop-MLP,12,0.9086666666666666,0.8640631376500414,0.8641823923117083,0.862790332854459,0.9317407691037337,0.9319847813899412
RMSprop-MLP,15,0.918,0.8768059605634712,0.8773244872943068,0.87697311153085,0.9385220061272844,0.9384492848622282
RMSprop-MLP,18,0.908,0.8621462150931838,0.8628185963855307,0.8620711137340926,0.9311044546067183,0.9310263002563781
RMSprop-MLP,21,0.9046666666666666,0.8584882195993306,0.8569832798386688,0.8570587298002851,0.9284809336693532,0.9286509093547437
RMSprop-MLP,24,0.9066666666666666,0.8697346725291014,0.8613040735246474,0.8583485717873632,0.9302029031630125,0.9331631138530324
RMSprop-MLP,25,0.9093333333333334,0.8638038927919798,0.8643614837333186,0.8639322537619335,0.9320899614850519,0.9319492319950679
