,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
ARO-MLP,20.8,9.964381008817803,0.9543764792295765,0.011109433954214817,0.9108768322931752,0.018740480432083366,0.9705754052946377,0.006758332934057595,0.935816577388979,0.014725030526650966,0.9705754052946377,0.006758332934057595,0.9108768322931752,0.018740480432083366
GBO-MLP,20.8,9.964381008817803,0.9507691993797437,0.007691578567057467,0.9047490679128837,0.012528441354425353,0.9680418045457472,0.004878364357690556,0.9309529195057111,0.01009511612378162,0.9680418045457472,0.004878364357690556,0.9047490679128837,0.012528441354425353
HPSO-TVAC-MLP,20.8,9.964381008817803,0.9510221986452297,0.013071664986663607,0.9058011421669793,0.023113816970611874,0.9684445179372062,0.00820829398433051,0.9315164566686563,0.017669910243953948,0.9684445179372062,0.00820829398433051,0.9058011421669793,0.023113816970611874
JADE-MLP,20.8,9.964381008817803,0.9481086264588263,0.0033423718004974797,0.900420182873642,0.005169707796411406,0.9658987232171026,0.002533839043514648,0.9273651200599069,0.004368080152179689,0.9658987232171026,0.002533839043514648,0.900420182873642,0.005169707796411406
L-SHADE-MLP,20.8,9.964381008817803,0.9488778258385702,0.0035453165972281378,0.9016184162529088,0.005656993752731152,0.9664420975695889,0.002384430473348781,0.9283704507282822,0.004631678117231219,0.9664420975695889,0.002384430473348781,0.9016184162529088,0.005656993752731152
PSO-MLP,20.8,9.964381008817803,0.947329225495797,0.002869017836451305,0.8991646600494831,0.004514769424387641,0.9655593432507725,0.0019974374872978526,0.9263754356784988,0.00370782198857712,0.9655593432507725,0.0019974374872978526,0.8991646600494831,0.004514769424387641
RW-GWO-MLP,20.8,9.964381008817803,0.9485126091569411,0.003926115109394975,0.9009402295552917,0.006117830664703137,0.9666180146384352,0.0028179908822366685,0.9279505481345662,0.005131153821579479,0.9666180146384352,0.0028179908822366685,0.9009402295552917,0.006117830664703137
SMA-MLP,20.8,9.964381008817803,0.9454562148045376,0.0007655976931026751,0.8964058203012959,0.0012823697984484048,0.9637716755836683,0.0004403645304236403,0.9238797715848769,0.0009163204361335933,0.9637716755836683,0.0004403645304236403,0.8964058203012959,0.0012823697984484048
