,seed,seed,MAPE,MAPE,NNSE,NNSE,WI,WI,R,R,R2,R2,KGE,KGE
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
AO-MLP,20.8,9.964381008817803,0.8138061304179667,0.019084521414042478,0.5594065447624618,0.005965004036997095,0.5952422104374906,0.02795598222079886,0.4736857100009807,0.0317557288360184,0.21221271449220094,0.018610588787385224,0.22989018126338912,0.048957396018565795
AOA-MLP,20.8,9.964381008817803,0.7536428762425319,0.17454995065836462,0.5587256995400524,0.04486799473421591,0.5991831218083529,0.10083617300839351,0.5128559942229844,0.10179705287316072,0.19921870681694237,0.15243636357699852,0.27144822695736137,0.15994724646532169
ARO-MLP,20.8,9.964381008817803,0.5741760577671942,0.003309196973862024,0.6524746177348083,0.005488430400185513,0.8058736688506818,0.00407686344213412,0.6868899540544186,0.007987813752801536,0.46727635518449684,0.012810165495763316,0.5972709590075457,0.010809925988188807
ASO-MLP,20.8,9.964381008817803,0.8511486809823093,0.13987405036449113,0.4938360846154627,0.044226872527777364,0.7044525481723733,0.06986165435630332,0.5164668916509798,0.10627201725664699,-0.040221436998650786,0.1898607736151316,0.4222095855387078,0.1365337030715132
GA-MLP,20.8,9.964381008817803,0.6456578641941543,0.0255821231846064,0.6219793161280082,0.016099545509873546,0.7772627351257605,0.023999906783562598,0.6401708841907715,0.024136835389643584,0.39123630153775857,0.04264948745647271,0.5490355309893816,0.057907072176830644
GBO-MLP,20.8,9.964381008817803,0.5763926528829331,0.009741011259433474,0.6511237239670631,0.0076476562921096065,0.8036813700992225,0.010029256716255978,0.683899977755243,0.012911448179359257,0.4640003355548732,0.01828140567258463,0.5918030199698479,0.01811974208408303
HPSO-TVAC-MLP,20.8,9.964381008817803,0.5710790091108874,0.007999403597541557,0.6588740887470497,0.0047844926225181226,0.8115183789737548,0.006010279737949456,0.6967742105812099,0.007635070938254785,0.4821872609799619,0.01102783979053006,0.6035935237515891,0.014083180654370673
JADE-MLP,20.8,9.964381008817803,0.5751175550441026,0.00962538737451508,0.6551802430300049,0.011469732077571397,0.8078279226906808,0.011631734900966785,0.6910655762418323,0.01781877278598885,0.47328262547724265,0.02664770709605115,0.5993456220593603,0.0208595520895815
L-SHADE-MLP,20.8,9.964381008817803,0.5766160607375916,0.014616016949129123,0.6523088821586457,0.007253300429401699,0.8049094262523365,0.00918346090173883,0.686407337197638,0.011489953783809653,0.46681580940037043,0.016801272350349842,0.5947311411661145,0.023833035688250362
P-PSO-MLP,20.8,9.964381008817803,0.6392014621995588,0.04448956505079305,0.6069275346721692,0.03618589334239515,0.7756159522528303,0.03093961253173317,0.6229167444388535,0.054717118917070394,0.3469941312580508,0.1000935924890576,0.5752493676493715,0.05023414196257359
PSO-MLP,20.8,9.964381008817803,0.6374300665401182,0.06750779673075245,0.6205466042244041,0.030902547478848286,0.7670357932601013,0.054158117732258836,0.6292920757162974,0.06784147644880406,0.38476752655867,0.08374002516440071,0.5398317387173692,0.09687761203530915
RW-GWO-MLP,20.8,9.964381008817803,0.5721717832270803,0.009033044762571997,0.6541511497052691,0.005555033406235842,0.8079365986620651,0.006949280341285709,0.6894874012887003,0.009011823094465875,0.4712026213046035,0.01291407696364395,0.6018430238406343,0.014830128431460459
SMA-MLP,20.8,9.964381008817803,0.5944114443293778,0.011143383832223895,0.6425135289093886,0.01170449984026132,0.7923290747950522,0.00961818776896299,0.6703418116588455,0.017773492360759164,0.44313524524951087,0.029115337264371106,0.5737330161971496,0.023912208489779967
WOA-MLP,20.8,9.964381008817803,0.684186556775949,0.10104966558321202,0.5919963662001233,0.04820007627998724,0.7440137651482518,0.0654352024076801,0.5943092025176138,0.07262042088099711,0.2999615722825972,0.14857460378805823,0.5127396383334764,0.11419886069492192
