,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
ASGD-MLP,20.8,9.964381008817803,0.9111115645148127,0.06253663948697948,0.7904419051728386,0.20776897667286437,0.870105561277034,0.19506291652634652,0.8229474599959883,0.20072106821751234,0.870105561277034,0.19506291652634652,0.7904419051728386,0.20776897667286437
Adadelta-MLP,20.8,9.964381008817803,0.9273524851056884,0.047396766446906026,0.8417911225010452,0.15655441390362532,0.9172289564900803,0.14659931442749452,0.8723322137187285,0.15116567956886784,0.9172289564900803,0.14659931442749452,0.8417911225010452,0.15655441390362532
Adagrad-MLP,20.8,9.964381008817803,0.9411858320411328,3.98892197791145e-05,0.8895944803094208,5.833743609331777e-05,0.9628913491246138,2.516800257232122e-05,0.9186767640550968,5.043330663227473e-05,0.9628913491246138,2.516800257232122e-05,0.8895944803094208,5.833743609331777e-05
Adam-MLP,20.8,9.964381008817803,0.964586223781931,0.021305435221691607,0.9303650486127053,0.03974290925357269,0.9774489643224085,0.013349158973534368,0.9501196227361373,0.02937681000454041,0.9774489643224085,0.013349158973534368,0.9303650486127053,0.03974290925357269
GD-MLP,20.8,9.964381008817803,0.4153901085448461,0.2738221316783678,0.41317668355517156,0.19172447078591084,0.48304557086697886,0.061508450121429886,0.2745075122032105,0.1249636572970529,0.48304557086697886,0.061508450121429886,0.41317668355517156,0.19172447078591084
RMSprop-MLP,20.8,9.964381008817803,0.9987309230392556,0.00036254155442651037,0.9972266448458807,0.0010308156604064435,0.9989307980996681,0.0004543660614330406,0.9980746362594746,0.0005476395254781307,0.9989307980996681,0.0004543660614330406,0.9972266448458807,0.0010308156604064435
