,seed,seed,MAPE,MAPE,NNSE,NNSE,WI,WI,R,R,R2,R2,KGE,KGE
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
AO-MLP,20.8,9.964381008817803,1.0,0.0,0.5337894959118019,0.04329604342744753,0.44969134971548164,0.21594744455647769,0.23444734392440125,0.42239962610623055,0.11516460088782657,0.15717441237783472,0.005144183964446919,0.4473673078613663
AOA-MLP,20.8,9.964381008817803,1.0,0.0,0.4624013752404875,0.09199488356594361,0.44336596675299467,0.20943981966883618,0.048747869955818555,0.6557522124707131,-0.2666495716136281,0.6071262811645872,0.048118413339258204,0.39539276566147785
ARO-MLP,20.8,9.964381008817803,1.0,0.0,0.7450321127248678,0.018022610387413145,0.8974261424263441,0.009409217837640987,0.8172689906750857,0.016503178064571043,0.6570693691240883,0.03246153406808067,0.7986062383645677,0.016278211910129455
ASO-MLP,20.8,9.964381008817803,1.0,0.0,0.4251769111613033,0.0927195388022382,0.6144824161443929,0.1327911721989771,0.4182578840053126,0.21162251008593772,-0.4795808984508321,0.6866101205227457,0.2746914219111029,0.29498184843012565
GA-MLP,20.8,9.964381008817803,1.0,0.0,0.7220410733947821,0.03293892431407804,0.8701503890571507,0.027974688044282284,0.7883050559758791,0.03832863829924152,0.6125068541826618,0.06166797419241016,0.7287552844169909,0.05722561066506261
GBO-MLP,20.8,9.964381008817803,1.0,0.0,0.7555739316432754,0.018144949141400885,0.9024564187032278,0.010501090153020564,0.8273097767224031,0.018110128599061717,0.6758196756844926,0.03160895052364366,0.8023479246358548,0.024162207170963207
HPSO-TVAC-MLP,20.8,9.964381008817803,1.0,0.0,0.7631730910791593,0.0192155429681801,0.906517449579207,0.010759151021103456,0.8338863031415515,0.018177628138792378,0.6889317444076059,0.033090073792236586,0.8098385100238037,0.019734716241822204
JADE-MLP,20.8,9.964381008817803,1.0,0.0,0.7984177200257451,0.02467735322366201,0.9216059093385173,0.014514078826996445,0.8655651898398597,0.0214436432513646,0.7464437891709077,0.038794293466435106,0.817056595215355,0.028560874577601748
L-SHADE-MLP,20.8,9.964381008817803,1.0,0.0,0.7838846275444891,0.019391802252332314,0.9161507155260227,0.010128320339710574,0.8525356735290475,0.017251464540397766,0.7235911811546965,0.0319457530792821,0.8171496120202466,0.021133546110074265
P-PSO-MLP,20.8,9.964381008817803,1.0,0.0,0.6222843262718314,0.04854475766213549,0.7862632271335025,0.042498912346106955,0.6603231811340746,0.05902439242889065,0.38335486820498443,0.13831660293061787,0.5980099213421513,0.07878508462609722
PSO-MLP,20.8,9.964381008817803,1.0,0.0,0.7047055995102021,0.053020794997485216,0.8669179811680843,0.040656674213183114,0.7699098447028554,0.0629666696023825,0.5736782560211517,0.10780234632545922,0.7524407550191122,0.06946837034967619
RW-GWO-MLP,20.8,9.964381008817803,1.0,0.0,0.7561185965360336,0.02560267237414126,0.9033780403696756,0.013789250582287136,0.8275357328816684,0.02482437760280142,0.6760808026065886,0.045146206288194976,0.808437114988196,0.020835892721732283
SMA-MLP,20.8,9.964381008817803,1.0,0.0,0.684157344357631,0.031224856427715893,0.8499628943901432,0.02495820347843451,0.744519386483305,0.039360601419301436,0.5356013952693598,0.06690890818477575,0.709452506728337,0.05053253357533536
WOA-MLP,20.8,9.964381008817803,1.0,0.0,0.5728155325288565,0.08335287705304531,0.5595947443283901,0.2558263971264604,0.3355925168036223,0.46504808730818786,0.22238293251009514,0.2448089756738334,0.15929325734764854,0.5388224244073045
