model_name,seed,MAPE,NNSE,WI,R,R2,KGE
GA-MLP,10,1.0,0.7255413865237983,0.857887938125171,0.8068047343974636,0.621718872866532,0.6580206676195524
GA-MLP,11,1.0,0.7316012411176782,0.8880646257756192,0.8004388804195011,0.6331351782942782,0.77358272970756
GA-MLP,12,1.0,0.7103196331945307,0.8635547712726913,0.7708821619168281,0.5921830774933172,0.7086860071887412
GA-MLP,15,1.0,0.7771777712858128,0.9146124927516378,0.8468276382528096,0.7132931010809332,0.8004911203697858
GA-MLP,18,1.0,0.6897188750095469,0.8413147356319159,0.7546294968703467,0.5501339223373315,0.6936819897717095
GA-MLP,21,1.0,0.6925820874348121,0.8455402776634177,0.7473926656420327,0.5561278321479503,0.6764291468415395
GA-MLP,24,1.0,0.7340422786716422,0.8822535133102821,0.806903861202288,0.6376806499352498,0.7570656712397796
GA-MLP,25,1.0,0.6935196693905268,0.8443197544718292,0.7530503200606076,0.5580798294029472,0.6843390707498261
GA-MLP,30,1.0,0.6918721305756833,0.8501899942171245,0.7510666214629821,0.5546462188498127,0.7078511606658116
GA-MLP,42,1.0,0.7740356607437897,0.913765787351819,0.8450541795339316,0.7080698594182654,0.8274052800156037
JADE-MLP,10,1.0,0.8163178759697763,0.9309668685316729,0.8814588454111283,0.7749870124894528,0.8223575912105541
JADE-MLP,11,1.0,0.7681919280769667,0.9021880626825117,0.8378942227873917,0.6982419842612457,0.774528911361744
JADE-MLP,12,1.0,0.7844192484763574,0.9117853685646298,0.8528444395263994,0.7251715177280734,0.7853130852659767
JADE-MLP,15,1.0,0.7710014445818273,0.9094365766055794,0.8418429790638597,0.7029855689279856,0.8131194153634931
JADE-MLP,18,1.0,0.7709632097137356,0.9041151366001003,0.8420628177449407,0.7029212452675822,0.7869689909242926
JADE-MLP,21,1.0,0.8252395143155149,0.9361636433636747,0.8883322011112346,0.7882305892375523,0.8356331120193369
JADE-MLP,24,1.0,0.812985498382624,0.9319905436498733,0.8783639133274244,0.7699657595499209,0.8480833324073828
JADE-MLP,25,1.0,0.8305816464659446,0.9394205585590181,0.8923699328628182,0.7960244435271158,0.8360482733633856
JADE-MLP,30,1.0,0.8188219909967951,0.9355001082111102,0.8843636963189104,0.7787333376541983,0.8599108679793771
JADE-MLP,42,1.0,0.7856548432779088,0.9144922266170029,0.8561188502444892,0.7271764330659498,0.8086023722580074
L-SHADE-MLP,10,1.0,0.8044050627270432,0.9287271873181693,0.8718140079501899,0.7568452184899692,0.8486164839305117
L-SHADE-MLP,11,1.0,0.7844613918010234,0.9162784689492813,0.8524749345314129,0.7252400048597325,0.8140447050721179
L-SHADE-MLP,12,1.0,0.7951750147590582,0.9235581045626977,0.8635671177892114,0.7424152149662238,0.8382202888876407
L-SHADE-MLP,15,1.0,0.769698955733002,0.9097691166833735,0.8397798403320186,0.7007907539023785,0.8143047055888778
L-SHADE-MLP,18,1.0,0.7445501542836197,0.8993331416179327,0.8182631020666975,0.6569071348025368,0.80810384404054
L-SHADE-MLP,21,1.0,0.7926104343141245,0.9183556184039764,0.8598395378286975,0.7383461575731873,0.8013062877748736
L-SHADE-MLP,24,1.0,0.7779516347386894,0.9132773296192078,0.8460725058481824,0.7145730462589802,0.8077212536334798
L-SHADE-MLP,25,1.0,0.7799351724267309,0.9107562973620007,0.8490332748620433,0.7178421548953255,0.7950129901947436
