model_name,seed,AS,PS,RS,F1S,SS,NPV
GD-MLP,18,0.6228070175438597,0.31140350877192985,0.5,0.3837837837837838,0.5,0.31140350877192985
GD-MLP,10,0.6228070175438597,0.31140350877192985,0.5,0.3837837837837838,0.5,0.31140350877192985
GD-MLP,15,0.6228070175438597,0.31140350877192985,0.5,0.3837837837837838,0.5,0.31140350877192985
GD-MLP,12,0.37719298245614036,0.18859649122807018,0.5,0.27388535031847133,0.5,0.18859649122807018
GD-MLP,11,0.37719298245614036,0.18859649122807018,0.5,0.27388535031847133,0.5,0.18859649122807018
GD-MLP,21,0.6228070175438597,0.31140350877192985,0.5,0.3837837837837838,0.5,0.31140350877192985
GD-MLP,24,0.7807017543859649,0.8161764705882353,0.823943661971831,0.7805497805497805,0.823943661971831,0.8161764705882353
GD-MLP,25,0.37719298245614036,0.18859649122807018,0.5,0.27388535031847133,0.5,0.18859649122807018
GD-MLP,30,0.6228070175438597,0.31140350877192985,0.5,0.3837837837837838,0.5,0.31140350877192985
GD-MLP,42,0.631578947368421,0.8141592920353982,0.5116279069767442,0.408596837944664,0.5116279069767442,0.8141592920353982
Adadelta-MLP,10,0.9736842105263158,0.9742063492063492,0.9697019325253848,0.97186343068696,0.9697019325253848,0.9742063492063492
Adadelta-MLP,12,0.9736842105263158,0.9701298701298702,0.9742875859810023,0.9721203228173148,0.9742875859810023,0.9701298701298702
Adadelta-MLP,18,0.9736842105263158,0.9701298701298702,0.9742875859810023,0.9721203228173148,0.9742875859810023,0.9701298701298702
Adadelta-MLP,15,0.9736842105263158,0.9742063492063492,0.9697019325253848,0.97186343068696,0.9697019325253848,0.9742063492063492
Adadelta-MLP,21,0.9736842105263158,0.9742063492063492,0.9697019325253848,0.97186343068696,0.9697019325253848,0.9742063492063492
Adadelta-MLP,11,0.9649122807017544,0.9626596790042581,0.9626596790042581,0.9626596790042581,0.9626596790042581,0.9626596790042581
Adadelta-MLP,24,0.9736842105263158,0.9701298701298702,0.9742875859810023,0.9721203228173148,0.9742875859810023,0.9701298701298702
RMSprop-MLP,10,0.9649122807017544,0.9626596790042581,0.9626596790042581,0.9626596790042581,0.9626596790042581,0.9626596790042581
Adadelta-MLP,25,0.9736842105263158,0.9742063492063492,0.9697019325253848,0.97186343068696,0.9697019325253848,0.9742063492063492
Adadelta-MLP,30,0.9736842105263158,0.9701298701298702,0.9742875859810023,0.9721203228173148,0.9742875859810023,0.9701298701298702
Adadelta-MLP,42,0.9736842105263158,0.9701298701298702,0.9742875859810023,0.9721203228173148,0.9742875859810023,0.9701298701298702
RMSprop-MLP,11,0.9649122807017544,0.9594202898550726,0.9672453324598755,0.962987012987013,0.9672453324598755,0.9594202898550726
RMSprop-MLP,12,0.9649122807017544,0.9626596790042581,0.9626596790042581,0.9626596790042581,0.9626596790042581,0.9626596790042581
RMSprop-MLP,15,0.9736842105263158,0.9701298701298702,0.9742875859810023,0.9721203228173148,0.9742875859810023,0.9701298701298702
RMSprop-MLP,18,0.9824561403508771,0.981329839502129,0.981329839502129,0.981329839502129,0.981329839502129,0.981329839502129
RMSprop-MLP,21,0.9736842105263158,0.9742063492063492,0.9697019325253848,0.97186343068696,0.9697019325253848,0.9742063492063492
RMSprop-MLP,24,0.9824561403508771,0.981329839502129,0.981329839502129,0.981329839502129,0.981329839502129,0.981329839502129
RMSprop-MLP,30,0.9649122807017544,0.9594202898550726,0.9672453324598755,0.962987012987013,0.9672453324598755,0.9594202898550726
RMSprop-MLP,25,0.9736842105263158,0.9742063492063492,0.9697019325253848,0.97186343068696,0.9697019325253848,0.9742063492063492
RMSprop-MLP,42,0.9736842105263158,0.9701298701298702,0.9742875859810023,0.9721203228173148,0.9742875859810023,0.9701298701298702
Adam-MLP,10,0.9736842105263158,0.9701298701298702,0.9742875859810023,0.9721203228173148,0.9742875859810023,0.9701298701298702
Adam-MLP,11,0.9736842105263158,0.9701298701298702,0.9742875859810023,0.9721203228173148,0.9742875859810023,0.9701298701298702
Adam-MLP,12,0.9824561403508771,0.981329839502129,0.981329839502129,0.981329839502129,0.981329839502129,0.981329839502129
Adam-MLP,15,0.9736842105263158,0.9701298701298702,0.9742875859810023,0.9721203228173148,0.9742875859810023,0.9701298701298702
Adam-MLP,21,0.9736842105263158,0.9701298701298702,0.9742875859810023,0.9721203228173148,0.9742875859810023,0.9701298701298702
Adam-MLP,24,0.9824561403508771,0.981329839502129,0.981329839502129,0.981329839502129,0.981329839502129,0.981329839502129
