,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
ASGD-MLP,20.8,9.964381008817803,0.9754385964912281,0.0069193915591808704,0.972112735651379,0.008332540600763308,0.9761546020307895,0.006221087834823419,0.9739938342243178,0.007257459089501662,0.9761546020307895,0.006221087834823419,0.972112735651379,0.008332540600763308
Adadelta-MLP,20.8,9.964381008817803,0.9728070175438596,0.0027739277720775354,0.9710134426479005,0.0035663158417939354,0.971290533901081,0.003793237834507827,0.9710715015838671,0.00295836846602195,0.971290533901081,0.003793237834507827,0.9710134426479005,0.0035663158417939354
Adagrad-MLP,20.8,9.964381008817803,0.9736842105263157,0.004135127375359948,0.9701789090396163,0.005165165109280721,0.9742875859810024,0.003319750146415659,0.9721279435027659,0.004323475521636317,0.9742875859810024,0.003319750146415659,0.9701789090396163,0.005165165109280721
Adam-MLP,20.8,9.964381008817803,0.9728070175438596,0.007680658208516768,0.9697721955411114,0.0084845832355167,0.9726662299377662,0.007864701935429584,0.9711575166274595,0.00813306281377102,0.9726662299377662,0.007864701935429584,0.9697721955411114,0.0084845832355167
GD-MLP,20.8,9.964381008817803,0.5657894736842105,0.13883501571354753,0.37531427801674927,0.2385041222576613,0.5335571568948575,0.10209683669259999,0.39297215883687775,0.14660137884743848,0.5335571568948575,0.10209683669259999,0.37531427801674927,0.2385041222576613
RMSprop-MLP,20.8,9.964381008817803,0.9719298245614036,0.006919391559180862,0.9695492055395357,0.008311571637498032,0.9710448738945299,0.006713952292017835,0.970192056999535,0.007290957498896813,0.9710448738945299,0.006713952292017835,0.9695492055395357,0.008311571637498032
