,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
ASGD-MLP,20.8,9.964381008817803,0.9936666666666667,0.000986882414405504,0.9698058600863698,0.005330372752640668,0.9694449964747482,0.0048379972864785355,0.9694387078336881,0.005137224519123744,0.9964518455513776,0.0005459819544938946,0.9964589131986467,0.0005507782799099705
Adadelta-MLP,20.8,9.964381008817803,0.9948333333333335,0.0012843363618073203,0.9758158307149529,0.006533408679715377,0.9748789748007519,0.005955446624223313,0.9751791498872334,0.0062569706182612995,0.9970992849839126,0.0007158909381505328,0.9971135982134569,0.0007221102987433258
Adagrad-MLP,20.8,9.964381008817803,0.9938888888888888,0.0009442628728875502,0.9708988876285474,0.005159903064128954,0.9708679494083394,0.004625140487766056,0.9707358543988676,0.004895624215378786,0.9965766177356642,0.0005226050667093143,0.9965773128759932,0.0005283500166381326
Adam-MLP,20.8,9.964381008817803,0.9932222222222222,0.0013808408801709085,0.9674209169083351,0.0070347685813123735,0.9659933114445005,0.00658749501576393,0.9663931893032329,0.006861961332788057,0.9962084860336443,0.000768326068236745,0.9962294579826481,0.0007729219027895361
GD-MLP,20.8,9.964381008817803,0.8215,0.006086087938266906,0.058462525526240774,0.03953024714319793,0.10573179165703786,0.03206870022609599,0.05358689066179808,0.024225398690389366,0.9008219499936067,0.0034130122248991843,0.8997308603490735,0.009670701485487505
RMSprop-MLP,20.8,9.964381008817803,0.9941666666666666,0.0015101394842869592,0.9709177031348025,0.0077315129466688556,0.9701806533058097,0.008348963347213162,0.970253875052441,0.008105407892259657,0.9967550792914205,0.0008379675516803966,0.9967627347655335,0.0008335490392425859
