,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
ARO-MLP,20.8,9.964381008817803,0.9986365274921012,0.0013689156561929247,0.9986774993382198,0.0013839408164928971,0.9985357847188011,0.0014148214072256446,0.9986063656892732,0.001399251929445063,0.9985357847188011,0.0014148214072256446,0.9986774993382198,0.0013839408164928971
GBO-MLP,20.8,9.964381008817803,0.9991475646218113,0.0007357675672955014,0.9991639070144036,0.000767029751556324,0.9990939232059916,0.0007378172193854099,0.9991288148100926,0.0007518995361975959,0.9990939232059916,0.0007378172193854099,0.9991639070144036,0.000767029751556324
HPSO-TVAC-MLP,20.8,9.964381008817803,0.9986683347823322,0.0010976482612105503,0.9987596316159623,0.001048914017314814,0.9985197017992791,0.0011963447762984676,0.9986386325892631,0.0011223287621108576,0.9985197017992791,0.0011963447762984676,0.9987596316159623,0.001048914017314814
JADE-MLP,20.8,9.964381008817803,0.9995334930766132,0.00011528026767816596,0.9995767927809824,0.00010848363214216116,0.9994699026567921,0.0001284112060736896,0.9995232014404551,0.00011783178612529154,0.9994699026567921,0.0001284112060736896,0.9995767927809824,0.00010848363214216116
L-SHADE-MLP,20.8,9.964381008817803,0.999457155580059,0.00027177539451809525,0.9995046044415415,0.00024340249467171154,0.9993861734883817,0.0003127771775960797,0.9994451585852276,0.00027784947685426017,0.9993861734883817,0.0003127771775960797,0.9995046044415415,0.00024340249467171154
PSO-MLP,20.8,9.964381008817803,0.9947051464195594,0.004553381855127826,0.9947003283338214,0.004816423600641225,0.9944914445180035,0.004486772872286489,0.9945893064826393,0.004649117616445461,0.9944914445180035,0.004486772872286489,0.9947003283338214,0.004816423600641225
RW-GWO-MLP,20.8,9.964381008817803,0.9997158548739371,0.00013343906972206868,0.9997414425150974,0.00012498908182565876,0.9996778616005952,0.00014789453182318657,0.9997095973824859,0.00013638674499129647,0.9996778616005952,0.00014789453182318657,0.9997414425150974,0.00012498908182565876
SMA-MLP,20.8,9.964381008817803,0.9952437498674696,0.00971524143128983,0.9953619380600891,0.00957914574386832,0.9949459625520589,0.010262360180887258,0.9951313238030908,0.00994341791918721,0.9949459625520589,0.010262360180887258,0.9953619380600891,0.00957914574386832
