,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
ASGD-MLP,20.8,9.964381008817803,0.9614739008013862,0.0,0.0640702837340264,0.0,0.0833333333333333,0.0,0.0724431383353231,0.0,0.9166666666666666,0.0,0.8974036170673598,0.0
Adadelta-MLP,20.8,9.964381008817803,0.9614739008013862,0.0,0.0640702837340264,0.0,0.0833333333333333,0.0,0.0724431383353231,0.0,0.9166666666666666,0.0,0.8974036170673598,0.0
Adagrad-MLP,20.8,9.964381008817803,0.9970205219839723,9.279353735424906e-05,0.6379765849485997,0.004977901539751239,0.6499230342320428,0.001729242762550746,0.642998760511625,0.002393296068598541,0.998237916555303,0.00015950641106884984,0.9984539114650721,4.8693631304554764e-05
Adam-MLP,20.8,9.964381008817803,0.9981474713017111,0.0002562906440096622,0.7393605929977515,0.05029883804704584,0.720994009207025,0.03223036474594801,0.7220711691802083,0.0342015717279053,0.9989577877133545,0.00014738069066115846,0.9990377941382027,0.00013371566297921646
GD-MLP,20.8,9.964381008817803,0.8712286116525882,0.05800698713738148,0.03301448261258075,0.03540124132910865,0.07543477547693898,0.03354266982351464,0.028277974940037302,0.03607833274584483,0.9219794697612821,0.01548631238016118,0.9320692496425822,0.027620064536460966
RMSprop-MLP,20.8,9.964381008817803,0.9983552631578947,0.0002437064944118309,0.7901812728758445,0.07400101826109376,0.7615874747384522,0.054179441209623765,0.7690232445308895,0.05920919857706616,0.9990966159558452,0.00011882949439958128,0.9991462875290147,0.0001248118243136475
