model_name,seed,MAPE,NNSE,WI,R,R2,KGE
GD-MLP,18,0.9081575726131287,0.5478833118850163,0.4097498059424095,0.5497713791088809,0.17479383235919965,0.07497323293740066
GD-MLP,21,1.017894850395919,0.4838016838843996,0.35059361250046717,0.08576013393302777,-0.06696262809813147,-0.14211511592439585
GD-MLP,10,1.0159765368304925,0.4990233181747948,0.1845806497959065,0.08663206138966817,-0.003914373495721435,-0.2941120103844206
GD-MLP,15,1.0070117505502976,0.48773739632188795,0.3221012902863327,0.06479320935722163,-0.0502836311941075,-0.19166549206095573
GD-MLP,12,0.8304874112842406,0.5663460782928085,0.5187916569337194,0.5312504567633406,0.2342951804055987,0.16438172831647246
GD-MLP,11,0.940705474134699,0.5347167625889303,0.3694928873792237,0.48846145447255557,0.1298510352315968,0.021266201091841186
GD-MLP,24,0.848935828495261,0.5320848716289165,0.5450051958686626,0.3670555971004543,0.12060057836522353,0.14686433484722194
GD-MLP,30,0.8801478664911296,0.5523112626139638,0.48830254428746156,0.4715285085491293,0.18942674594896547,0.12124263372619426
GD-MLP,25,0.940037884822236,0.4846917368757421,0.4778657196166253,0.18709196634165162,-0.06316700681935661,0.010826045319593747
GD-MLP,42,0.7640012363619968,0.5565774181531491,0.6042889842849823,0.4528969684655934,0.20330475620403665,0.25673989539805875
Adadelta-MLP,10,0.6063262530074204,0.6724026990134256,0.8329658183393978,0.7261086007127724,0.5127959755854083,0.6004041446937478
Adadelta-MLP,11,0.552463409565757,0.6453020384010959,0.8005426734015786,0.6826661021669942,0.4503380735046787,0.6077723155122814
Adadelta-MLP,12,0.6072537981907042,0.6594065598424215,0.8151227553050916,0.6969495812946608,0.48348490764336605,0.5916646197858401
Adadelta-MLP,15,0.5821828465545731,0.648718425525144,0.800346791342085,0.6790703046859242,0.45849915671735375,0.5817757411444472
Adadelta-MLP,18,0.5420181355998845,0.643502678841822,0.7973014084212445,0.6873142380424475,0.4460049151624309,0.6149615003632727
Adadelta-MLP,21,0.627869085542344,0.6613729550445597,0.8175516534116636,0.7026588604984025,0.48799381291207244,0.5880098627586186
Adadelta-MLP,24,0.6314579703175971,0.6572846620675438,0.8107656581370132,0.6955740069836824,0.4785891749635287,0.568015970480213
Adadelta-MLP,25,0.5520148199943455,0.6586980739485289,0.8083348486506373,0.702502302927128,0.48185376646760814,0.6134058108187257
RMSprop-MLP,10,0.6281004112820419,0.6667258131567314,0.8194336355656074,0.7134015581582556,0.500133067796906,0.5706558738365722
