,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
ARO-MLP,20.8,9.964381008817803,0.8151076158940397,0.003160320684645183,0.6454298719151541,0.0035456791510800455,0.6858673880814503,0.004759530413541365,0.6602191597849434,0.003786076247234435,0.6858673880814503,0.004759530413541365,0.6454298719151541,0.0035456791510800455
GBO-MLP,20.8,9.964381008817803,0.8160931094292021,0.004053339156445966,0.6463102061489487,0.0039363489629582835,0.6858987106018788,0.003888775661142883,0.6609143515327807,0.003749873107705196,0.6858987106018788,0.003888775661142883,0.6463102061489487,0.0039363489629582835
HPSO-TVAC-MLP,20.8,9.964381008817803,0.8118614001892148,0.004188142176047415,0.6396093274404522,0.00345082584325396,0.6777297373149861,0.0060034088277384915,0.6534838383122701,0.0036098755611533796,0.6777297373149861,0.0060034088277384915,0.6396093274404522,0.00345082584325396
JADE-MLP,20.8,9.964381008817803,0.8184977136549983,0.0022080539247247098,0.6499871183889054,0.0018092651905530623,0.69030674007673,0.003014666293179919,0.6649784456223914,0.001773155509520958,0.69030674007673,0.003014666293179919,0.6499871183889054,0.0018092651905530623
L-SHADE-MLP,20.8,9.964381008817803,0.8147725480920845,0.0028661590405057997,0.6451182669779256,0.003914327627511113,0.6858411312091983,0.007142333423115401,0.6599463128900431,0.00466601412641783,0.6858411312091983,0.007142333423115401,0.6451182669779256,0.003914327627511113
PSO-MLP,20.8,9.964381008817803,0.8102924944812362,0.004967530466611037,0.6378314980879956,0.004555325348174031,0.6763515777843969,0.00727500984662805,0.6516799078191637,0.0047760611065285645,0.6763515777843969,0.00727500984662805,0.6378314980879956,0.004555325348174031
RW-GWO-MLP,20.8,9.964381008817803,0.8213635288552507,0.002911255324353747,0.6528341528413878,0.003181399686268258,0.6911104754281215,0.003996454524860892,0.6674144497131238,0.0031665021182582945,0.6911104754281215,0.003996454524860892,0.6528341528413878,0.003181399686268258
SMA-MLP,20.8,9.964381008817803,0.7986479028697572,0.019168789803699023,0.6232401766435763,0.008525323047347724,0.6591470482316463,0.030481329648976447,0.6329131140669082,0.012324333513302171,0.6591470482316463,0.030481329648976447,0.6232401766435763,0.008525323047347724
