,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
AO-MLP,20.8,9.964381008817803,0.6418,0.03798511729351994,0.4611059996582065,0.056547521637745304,0.4636437783120478,0.054932398698543994,0.45535690729238587,0.05606309936849418,0.7315620566957355,0.028030397248775468,0.7353569652369065,0.02993461943840796
AOA-MLP,20.8,9.964381008817803,0.7018,0.029749655045204153,0.45726833878559436,0.12125571382332487,0.5529819087080328,0.04859888166845114,0.47870418348291083,0.0761054117991351,0.7760599608604206,0.023058065686914538,0.8024238340022947,0.021058835774609954
ARO-MLP,20.8,9.964381008817803,0.8532666666666666,0.018489770278136874,0.7803697126781861,0.027397929838349443,0.7805416236665917,0.027478632093035325,0.779292530888912,0.02790291045708975,0.8901298051000863,0.013860184506057813,0.8905140393055231,0.013618431887133312
ASO-MLP,20.8,9.964381008817803,0.7342666666666666,0.021042461481138187,0.6088941373442421,0.0313876999020292,0.6020927551200199,0.031687512689278385,0.5900762712142266,0.03842922083671879,0.8008296840697661,0.015814814523585994,0.8075842801512287,0.014413223153450175
GA-MLP,20.8,9.964381008817803,0.8263333333333334,0.014484559680425328,0.7458544138463756,0.022458017999840475,0.7408112270320056,0.021476660970826664,0.7370517582989002,0.02159938193783071,0.8699547803689562,0.010695114719230058,0.872797833268731,0.010868018134494237
GBO-MLP,20.8,9.964381008817803,0.8349333333333334,0.023431960868084786,0.7530828441668067,0.03500431246217178,0.7529487428280206,0.03481803068979403,0.7515286029913786,0.035582332698928354,0.8762829483543895,0.017486140930023243,0.8770143956440062,0.017123142681531735
HPSO-TVAC-MLP,20.8,9.964381008817803,0.8479333333333333,0.0202586972635166,0.7726137657492707,0.03018775041368075,0.7727014223653438,0.030004421293103756,0.771518412761412,0.03004566256796043,0.8860236209211365,0.015160107438503637,0.886473626579329,0.015337069246276975
JADE-MLP,20.8,9.964381008817803,0.8902000000000001,0.012688285644349017,0.8355179612886721,0.01920548597983743,0.8355694887977869,0.01898867684691621,0.8351168529907381,0.019044944957396483,0.9176543093808027,0.009507851440903091,0.9177914620514009,0.009548768401038701
L-SHADE-MLP,20.8,9.964381008817803,0.8624666666666666,0.0318701842162123,0.7954840321686881,0.047080732211029624,0.7943755252369503,0.04762860145313049,0.7929593946555082,0.04810113885190155,0.8969351455270871,0.02390954355388414,0.8977906459774354,0.023586355037362488
P-PSO-MLP,20.8,9.964381008817803,0.6968666666666666,0.03739815800573903,0.5235521167128117,0.0818494917063615,0.5467847365499419,0.055182749143323453,0.5299834372170305,0.06668680683145535,0.7727941883338226,0.027778401613496116,0.7791856325213988,0.029312762758579494
PSO-MLP,20.8,9.964381008817803,0.8240000000000001,0.023410454560218362,0.7369320900166356,0.03545827631031318,0.7372903714205059,0.034365279908410575,0.7346233790844602,0.03514645523548338,0.8681347692129456,0.017536731510948998,0.8694253652248272,0.017359688674434794
RW-GWO-MLP,20.8,9.964381008817803,0.8897333333333334,0.005069394976927583,0.8350897619654271,0.0077737876020445235,0.8351295577711252,0.007749533018773396,0.8344345526483814,0.007701637118061426,0.9173349253831342,0.0038083767577015643,0.9175469192391095,0.0037990755786611553
SMA-MLP,20.8,9.964381008817803,0.7704,0.03272209960361856,0.6559613094840666,0.04948443360073607,0.6564080437137882,0.04863504031474586,0.6491836755274188,0.05245445720247621,0.8279258178546305,0.02442449613243146,0.8322926810984242,0.023745253361903692
WOA-MLP,20.8,9.964381008817803,0.6352666666666666,0.03616075220456567,0.4260136371421629,0.07628841033585769,0.45559011530109794,0.05207850415030246,0.42203171253211397,0.06351314178659626,0.7270076593701431,0.026965907574943368,0.7350656785412663,0.03033570331159724
