,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
AO-MLP,20.8,9.964381008817803,0.8421666666666667,0.008192011566028338,0.15119235905769998,0.03153711177316417,0.2069028764899282,0.032482586214147326,0.15700501424184338,0.022851007736748873,0.9119082100514575,0.0044641839758886755,0.9136033385410023,0.005699286184492828
AOA-MLP,20.8,9.964381008817803,0.8522222222222222,0.0036477251117763383,0.14894771412069424,0.03415110675168976,0.2622374365943501,0.018823699184862836,0.1656989951606069,0.019438056143917613,0.9183972356518517,0.0021768953854702003,0.9231350323496683,0.0026411725598065126
ARO-MLP,20.8,9.964381008817803,0.9239444444444445,0.01455666285487533,0.5696269669220224,0.08201740739829669,0.6128637761134225,0.06926774003099773,0.5801016228827863,0.07698052722895447,0.9577678794571132,0.008040407889578516,0.9586200928445884,0.008095228982735798
ASO-MLP,20.8,9.964381008817803,0.8506111111111112,0.007068399896150937,0.2304546220601079,0.04726953868414084,0.25766112873540636,0.03633495413452562,0.20360483756889053,0.019577075646423078,0.917257814284626,0.0039700042390443365,0.9192808193503772,0.005117116104933486
GA-MLP,20.8,9.964381008817803,0.9044444444444444,0.004513354669242172,0.5256989810648207,0.03337198006926868,0.5265900161174553,0.02139278854375647,0.4957985991563306,0.022434901063814943,0.946997770481708,0.002490689531638312,0.9480722648327162,0.002640290402528384
GBO-MLP,20.8,9.964381008817803,0.8985555555555556,0.014385444556535702,0.4381179863250371,0.08635711585539901,0.5017055073900722,0.07362045041544546,0.4506409238296424,0.08368803697058726,0.9437938161305179,0.007909907901887196,0.9452783387910667,0.007672093460714649
HPSO-TVAC-MLP,20.8,9.964381008817803,0.9146666666666666,0.018040497044363283,0.5397472730783306,0.10728260663784046,0.5739835403255575,0.08424583015440375,0.5344755718685278,0.09919234495405745,0.9528915333806859,0.009920356968086932,0.9544222790624071,0.009414058137890827
JADE-MLP,20.8,9.964381008817803,0.9502222222222223,0.009084272424744182,0.7158627165444393,0.05896387691377663,0.7450241580443463,0.04716303615575712,0.7211998546544086,0.053078642217822915,0.972477294476092,0.005070704975767941,0.9730434320353805,0.00509349728951698
L-SHADE-MLP,20.8,9.964381008817803,0.9505000000000001,0.010824862151711918,0.7337329240241537,0.06141763795516251,0.7509203862017433,0.05239847184944564,0.7336083465154187,0.061758199151604444,0.9725252791340615,0.006050505276875394,0.9730178418614729,0.005722549489724555
P-PSO-MLP,20.8,9.964381008817803,0.8473333333333333,0.008945805432841108,0.20349938749370863,0.034104068849265076,0.24508741740746415,0.04091452496886045,0.1992814524816065,0.024471913067086026,0.9154577088515807,0.004974940243399767,0.9167252853621994,0.006063729236764384
PSO-MLP,20.8,9.964381008817803,0.9060555555555554,0.012737321892714577,0.48704170155733034,0.059644830826163196,0.5200667443329194,0.06074942111203597,0.48822792411768,0.057435307219384474,0.9478735274824078,0.007016023562691727,0.9487506093776723,0.007231570439893384
RW-GWO-MLP,20.8,9.964381008817803,0.9426666666666665,0.01008128826657846,0.6671733926880892,0.0781712661601256,0.7067575137447124,0.048250079840530966,0.6744159677410871,0.06417281274340564,0.9681980117015477,0.005688370166736167,0.9692437506261697,0.004800082798025483
SMA-MLP,20.8,9.964381008817803,0.8548333333333333,0.010443032476137752,0.21085267382149858,0.04628261134295925,0.2721524716690141,0.039438397504786914,0.20852574808626062,0.028679127077608123,0.9195375220951434,0.005273973040174634,0.9219090761387345,0.0065501773958685375
WOA-MLP,20.8,9.964381008817803,0.8380555555555554,0.0078752708055426,0.1440662768387006,0.03995396127275577,0.19282953918258916,0.031156911563532817,0.13720211811549973,0.019871460745620684,0.9098924745944303,0.004169711165802279,0.9118901579460467,0.0059543878275433205
