,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
ASGD-MLP,20.8,9.964381008817803,0.7734678624813154,0.0018374777194405496,0.7945851307005565,0.0023239212599011102,0.7743610498038447,0.001829949629374343,0.7697135910731265,0.0019557489410166095,0.7743610498038447,0.001829949629374343,0.7945851307005565,0.0023239212599011102
Adadelta-MLP,20.8,9.964381008817803,0.8391629297458894,0.0049078858508898185,0.8502385837850308,0.0019336278486681675,0.8397493971219381,0.004798175826212587,0.8380253669996163,0.005404106300036633,0.8397493971219381,0.004798175826212587,0.8502385837850308,0.0019336278486681675
Adagrad-MLP,20.8,9.964381008817803,0.776644245142003,0.0009329837225248627,0.7956559805695393,0.0009547317466552491,0.777490569294528,0.0009256437403002535,0.7733466416122863,0.0010168531423709716,0.777490569294528,0.0009256437403002535,0.7956559805695393,0.0009547317466552491
Adam-MLP,20.8,9.964381008817803,0.8356128550074737,0.005344508043800857,0.8489404748215247,0.001812679725169212,0.8362602455754029,0.005234538502187251,0.8341913145251068,0.005881660391691438,0.8362602455754029,0.005234538502187251,0.8489404748215247,0.001812679725169212
GD-MLP,20.8,9.964381008817803,0.5125560538116591,0.09895640932667328,0.3962712676062073,0.19544010701022957,0.5130568557164906,0.09999692558510097,0.409212407900442,0.14069843552478903,0.5130568557164906,0.09999692558510097,0.3962712676062073,0.19544010701022957
RMSprop-MLP,20.8,9.964381008817803,0.8410687593423021,0.010504891312550394,0.8548334903504957,0.004707357907924151,0.8417128775424361,0.010349261897316494,0.8396320671156244,0.011345044201457367,0.8417128775424361,0.010349261897316494,0.8548334903504957,0.004707357907924151
