model_name,seed,MAPE,NNSE,WI,R,R2,KGE
GA-MLP,10,1.0,0.7069303134002268,0.858092618303197,0.7654608910075611,0.5854334139525681,0.6841085969136124
GA-MLP,11,1.0,0.7048746440669857,0.8530941111400008,0.7627872823219214,0.5813080263035142,0.6743396723856294
GA-MLP,12,1.0,0.7059638927074152,0.8552890799784981,0.7639770171838527,0.5834969602128829,0.675831090488502
GA-MLP,15,1.0,0.7071555491013506,0.8575486383057724,0.7656874746739839,0.5858839667300999,0.6836646410818841
GA-MLP,18,1.0,0.7067384215191472,0.8519461482295005,0.7650349480559695,0.5850493343060624,0.6567751232743346
GA-MLP,21,1.0,0.6984251184612793,0.8493696940728169,0.7542385070201633,0.568207280111676,0.6578019931959714
GA-MLP,24,1.0,0.7055743338233327,0.8575194104328894,0.7641060660324852,0.5827148862101494,0.690618720856599
GA-MLP,25,1.0,0.6945395848055338,0.845543867580894,0.7487349563077424,0.5601972560282608,0.6599400951237089
GA-MLP,30,1.0,0.7035241699822232,0.8536466124236711,0.7607834161088973,0.5785847271952745,0.6707602664089822
GA-MLP,42,1.0,0.7025111017856173,0.8565314227749665,0.7602545190517109,0.5765349508951013,0.6886634882620115
JADE-MLP,10,1.0,0.7082904146073462,0.8607824790471778,0.7675359980758635,0.5881497484977707,0.6940731658485393
JADE-MLP,11,1.0,0.7120787204539845,0.8613504421097986,0.7719628882606067,0.5956608851301554,0.6896199332698277
JADE-MLP,12,1.0,0.7078905827029397,0.8551309071169652,0.766676160330483,0.5873523049541097,0.6612463130870386
JADE-MLP,15,1.0,0.7110312494738595,0.861256764655167,0.7706096439069615,0.593592052754407,0.6861657129733685
JADE-MLP,18,1.0,0.7084873345988468,0.8597132149773492,0.7677775022661492,0.5885421641782618,0.6933763011270528
JADE-MLP,21,1.0,0.7056301258994082,0.8568393937635763,0.7638390227497764,0.5828269467302252,0.6843631877330674
JADE-MLP,24,1.0,0.7090832396161607,0.8599507390361181,0.7683774113107641,0.5897283363497385,0.6915663630101396
JADE-MLP,25,1.0,0.7113741933999319,0.8612909497199307,0.7710561224853293,0.5942700631005267,0.6873462779994064
JADE-MLP,30,1.0,0.7118279547813878,0.8602988477544515,0.7714997505262584,0.595166158784655,0.6812612615384964
JADE-MLP,42,1.0,0.7101179058266969,0.8674306015316383,0.7717917449492008,0.5917831506644922,0.7192747412345716
L-SHADE-MLP,10,1.0,0.7094190725473546,0.861294736470621,0.7688754707128428,0.5903959469129598,0.6940272259037947
L-SHADE-MLP,11,1.0,0.7119099597850349,0.8602473575220608,0.7715913192072136,0.5953279817830397,0.6808692393471678
L-SHADE-MLP,12,1.0,0.7069158666228423,0.8565798015471733,0.7652279139555438,0.5854045053800927,0.6773508407053696
L-SHADE-MLP,15,1.0,0.708010943322737,0.8586529727881679,0.7667995181999101,0.5875924525870444,0.6845838954017872
L-SHADE-MLP,18,1.0,0.7069581565269116,0.858727512409613,0.765634983580841,0.5854891258165529,0.688396432657187
L-SHADE-MLP,21,1.0,0.7081210989397033,0.8590344575724309,0.7670252907259503,0.5878121673011325,0.683898109822751
L-SHADE-MLP,24,1.0,0.7093747732305655,0.8591597090082997,0.7685802035559147,0.5903079194007741,0.6874257391492928
L-SHADE-MLP,25,1.0,0.7119825437542738,0.8605899140136679,0.7717379239797196,0.5954711828649419,0.6799222045590121
L-SHADE-MLP,30,1.0,0.7146518398462023,0.8646639095197467,0.7752667983100489,0.6007172384594903,0.6949928321398529
L-SHADE-MLP,42,1.0,0.7094326360992137,0.8614490692431915,0.7689089662896333,0.590422896952614,0.693517436315988
PSO-MLP,10,1.0,0.7071203152768865,0.8586246785635949,0.7657874104814346,0.5858135052895052,0.686196885616277
PSO-MLP,11,1.0,0.7070367472298491,0.859171161873887,0.7657567441049846,0.5856463558393916,0.6889258889935477
PSO-MLP,12,1.0,0.7007888166370142,0.8518348632998728,0.7572385755327723,0.5730365892554369,0.6704329738722433
PSO-MLP,15,1.0,0.7043005380617859,0.8497626320693029,0.7618212112292692,0.5801515887635552,0.6525488766818851
PSO-MLP,18,1.0,0.7104770339912623,0.8638696292591683,0.7706054828096313,0.5924949686518672,0.7009485965943906
PSO-MLP,21,1.0,0.7065570281877194,0.8552740044926134,0.7647093103164759,0.5846860761332373,0.6732517067288459
PSO-MLP,24,1.0,0.7104456146502912,0.8583885554171001,0.7697009576417542,0.5924327219723374,0.6761669667459527
PSO-MLP,25,1.0,0.7046673906253892,0.8463785574933496,0.7629836754046614,0.5808907673271153,0.6383349320482563
PSO-MLP,30,1.0,0.7014185825720989,0.8574012213144941,0.7594151107127894,0.5743177827809973,0.6891589636750457
PSO-MLP,42,1.0,0.7065735191666132,0.8577333509037253,0.7650396830727654,0.5847191086647623,0.6849253556231847
HPSO-TVAC-MLP,10,1.0,0.7096118027074215,0.8595318841580135,0.7687662595837425,0.5907787945681789,0.6843940387211453
HPSO-TVAC-MLP,11,1.0,0.7094546006510891,0.8586910828417871,0.7685140610387707,0.5904665371367412,0.6819183815743017
HPSO-TVAC-MLP,12,1.0,0.7116091547036981,0.8599442663175182,0.7712146116155727,0.5947342113433279,0.6811941644538761
HPSO-TVAC-MLP,15,1.0,0.7120857488445639,0.8598645338599231,0.7718378618536743,0.5956747461627926,0.6816028918687143
HPSO-TVAC-MLP,18,1.0,0.7112292931506424,0.8624676696780422,0.7711078665991299,0.5939836707650985,0.6945211821561087
HPSO-TVAC-MLP,21,1.0,0.70944434120202,0.8595788307587785,0.7685771940905639,0.5904461535267334,0.6848494671240601
HPSO-TVAC-MLP,24,1.0,0.7111238273626042,0.8614852575955301,0.7707964232446107,0.5937751464343817,0.6899311550853379
HPSO-TVAC-MLP,25,1.0,0.7114154400428819,0.8620814802852366,0.7712417751703887,0.5943515649031698,0.6920481367807332
HPSO-TVAC-MLP,30,1.0,0.7105799019008541,0.8607872503950973,0.7700795566765725,0.5926987277223494,0.6879758176762221
HPSO-TVAC-MLP,42,1.0,0.7078994184808225,0.8584432616235398,0.7667416433057102,0.587369937178313,0.6872727879113849
P-PSO-MLP,10,1.0,0.6926463844793203,0.8301333083696562,0.7476904585500742,0.5562618640509828,0.6072353325880063
P-PSO-MLP,11,1.0,0.6726478702613395,0.7852935868951769,0.733021000579913,0.5133380417729166,0.49743660589821403
P-PSO-MLP,12,1.0,0.6909072095998502,0.836822509390244,0.7434199180987884,0.5526276378282899,0.6321263048161276
P-PSO-MLP,15,1.0,0.6886516052617765,0.8346909270758718,0.7402001702716511,0.5478869251747827,0.6303935052607373
P-PSO-MLP,18,1.0,0.6870045450800232,0.8187655898338877,0.7417431449755701,0.5444055542841879,0.5765699038720986
P-PSO-MLP,21,1.0,0.6648314332724308,0.8083845568809592,0.7042167601484519,0.4958593262087446,0.5809818506288913
P-PSO-MLP,24,1.0,0.6511851010813452,0.7657491162869381,0.6909138309445926,0.4643383297016168,0.4707864913400961
P-PSO-MLP,25,1.0,0.6500770613856152,0.781020117612441,0.6798488871259648,0.4617208337292551,0.5328351400814708
P-PSO-MLP,30,1.0,0.6742915236194279,0.7837731821021583,0.7443846162808427,0.5169619297121657,0.5045207123917118
P-PSO-MLP,42,1.0,0.6687896989264743,0.7910857865246235,0.7175320454181553,0.5047616588515393,0.5276876971756271
RW-GWO-MLP,10,1.0,0.7089395205565452,0.85828088321713,0.7678542318995627,0.5894424404285419,0.6811066076121207
RW-GWO-MLP,11,1.0,0.7100465057133474,0.8601018404888289,0.7693765021614934,0.5916415446684703,0.6867473446311267
RW-GWO-MLP,12,1.0,0.7030179596367538,0.8531928390101591,0.7601730084193178,0.5775612325513058,0.6739231315104262
RW-GWO-MLP,15,1.0,0.7047616707275022,0.8505734499006363,0.7623677312905829,0.5810806098922305,0.6553241174960944
RW-GWO-MLP,18,1.0,0.7099834808254064,0.860544047980024,0.7693434785969492,0.5915165253740429,0.6881782455889005
RW-GWO-MLP,21,1.0,0.7095540658096818,0.8606102716109534,0.7688621518991863,0.5906641252786192,0.6893546213763991
RW-GWO-MLP,24,1.0,0.71015718488995,0.8594688483167665,0.769435152056136,0.5918610396725541,0.6839233355594909
RW-GWO-MLP,25,1.0,0.7042342249913467,0.8437792450396384,0.7630469700629096,0.5800178910471334,0.6303158648567619
RW-GWO-MLP,30,1.0,0.7054369656720825,0.8452127736994006,0.7646249431539786,0.5824389014725333,0.6334135125856284
RW-GWO-MLP,42,1.0,0.7053940047770486,0.8550709941485368,0.7632620998642936,0.5823525671783014,0.6764234258450822
AO-MLP,10,1.0,0.5244364072015201,0.3028632162141486,0.3424454129930873,0.09319111665765867,-0.046188160802760114
AO-MLP,11,1.0,0.5210853094051694,0.29279026600060476,0.31272841940136703,0.0809284354196772,-0.06812717728739037
AO-MLP,12,1.0,0.6195029085466506,0.65350840609447,0.6891465207543,0.3858025746061581,0.31417198658191214
AO-MLP,15,1.0,0.5556503325034846,0.492471453993794,0.47156090227368275,0.200307024933295,0.142314434916334
AO-MLP,18,1.0,0.5173569902858991,0.20030622822459,0.38695277693692043,0.0670986982366174,-0.08965867832775642
AO-MLP,21,1.0,0.6208909112053058,0.7440027156909172,0.6247124446343539,0.3894111156197344,0.4685174643071758
AO-MLP,24,1.0,0.521865450659262,0.3019236772714011,0.3124657398030713,0.08379727238750867,-0.05938907508848357
AO-MLP,25,1.0,0.664182754589388,0.7765211567795124,0.7178870380005097,0.49439029681187474,0.48282809415478845
AO-MLP,30,1.0,0.525488290286582,0.2889136367585804,0.376032143823316,0.09700802380460871,-0.04300354788861771
AO-MLP,42,1.0,0.5193578443712213,0.2837916573116164,0.29678908183472125,0.07454530467199394,-0.08025087641953732
ARO-MLP,10,1.0,0.7103502190669198,0.8620358835007654,0.7700440886344762,0.5922436945067047,0.6942377770391519
ARO-MLP,11,1.0,0.7101663674734616,0.8626822931564104,0.7700598083318643,0.5918792471717984,0.6994490983618742
ARO-MLP,12,1.0,0.7083296163714684,0.8598250518029986,0.7673597156247275,0.5882278858779622,0.6881350710972552
ARO-MLP,15,1.0,0.7117866838415405,0.8618305347926072,0.7715957669015825,0.5950847034634578,0.689087172462724
ARO-MLP,18,1.0,0.7149606248182595,0.8656135952774342,0.7757839354370716,0.6013215759200773,0.6998233514278945
ARO-MLP,21,1.0,0.7102763309002856,0.8614608198389806,0.7698471126338469,0.5920972493445116,0.690400809525916
ARO-MLP,24,1.0,0.7084108773510516,0.8568029093226732,0.7670952898916775,0.5883898285987892,0.6757463045980068
ARO-MLP,25,1.0,0.7105313431149749,0.8603308990874096,0.769966897097165,0.5926025506264196,0.6860719065807495
ARO-MLP,30,1.0,0.7061425041607021,0.85936902817857,0.7648968150989031,0.5838552500269514,0.6909875831943153
