,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
ARO-MLP,20.8,9.964381008817803,0.9629467186484731,0.03777200057298376,0.381417655820549,0.07737912119231732,0.36707801582418853,0.08596081798865562,0.3484769074386288,0.07432775087074248,0.9718092856408191,0.019370374863336193,0.9775714737664952,0.020829777409058746
GBO-MLP,20.8,9.964381008817803,0.9735684697855751,0.00638953429012017,0.43810453119660303,0.055701009916636436,0.39985951112424234,0.044014622467671675,0.38889881968277557,0.030786974324961313,0.9698436482643631,0.010730800022557833,0.9825284437545909,0.011283354024446418
HPSO-TVAC-MLP,20.8,9.964381008817803,0.9744009909031839,0.005303835027313985,0.3897258073622675,0.07070526370014975,0.380009624318465,0.06063573446313797,0.3568980754678124,0.06736493914314287,0.9673434808971576,0.011900913397381798,0.9816025321399893,0.01192146840138422
JADE-MLP,20.8,9.964381008817803,0.9807748538011696,0.0051328192866200405,0.515424348273087,0.07955447369235204,0.5053797725238002,0.048200363747469485,0.4955579701591109,0.06528929976460524,0.981653256406872,0.009974526724273191,0.9879868110078573,0.006780719769949647
L-SHADE-MLP,20.8,9.964381008817803,0.9748578622482131,0.006601073400855356,0.43540214599967897,0.04146905848451434,0.4504282229045966,0.030201339553465517,0.42470833703120736,0.02961960931318957,0.9748019631135779,0.008440845992249986,0.9807190115282992,0.010764332002330101
PSO-MLP,20.8,9.964381008817803,0.9675445364955599,0.023815187576613498,0.42663562354266327,0.06260688255336194,0.38842201289057676,0.06953663959208971,0.3655087434516543,0.057887238471620465,0.969093519810133,0.01725907209763508,0.9772889278578347,0.01812987118073639
RW-GWO-MLP,20.8,9.964381008817803,0.978275936755469,0.005390350141104209,0.4877872323182097,0.05659748749397012,0.47056895596892057,0.04140300265072734,0.46248067189503306,0.043179243679381994,0.976154787590952,0.008730326469981068,0.9848134643278371,0.009406186760472035
SMA-MLP,20.8,9.964381008817803,0.9635267760450509,0.005839830858651907,0.2573725290304957,0.024814408794044913,0.2625912079572615,0.05108290565909841,0.22528382136739636,0.026803597195338032,0.9621016836795435,0.013553257188464623,0.9681814619740153,0.012003670625584347
