model_name,seed,AS,PS,RS,F1S,SS,NPV
JADE-MLP,10,0.9864901451158762,0.6419312471251463,0.5965030665630398,0.607578257952272,0.9918920408564581,0.9867129329808472
JADE-MLP,11,0.9852785899935023,0.4993511065754248,0.5325767131092083,0.510818043602237,0.991560536413072,0.9924699839443107
JADE-MLP,12,0.9813393437296947,0.3712452257728817,0.48273479386986623,0.3862124187804306,0.9856896470611209,0.9906436830381864
JADE-MLP,15,0.982808100498159,0.5173310179070153,0.46817890331611034,0.4646529652390172,0.9856819026457505,0.9912828020042759
JADE-MLP,18,0.9719108728611653,0.49118650714961204,0.5292211983697924,0.5040810887145708,0.9808759354554777,0.9697040603781107
JADE-MLP,21,0.9798502815681177,0.5351943000865796,0.5211172025613714,0.5212858346810774,0.958325979183904,0.9898160390150249
JADE-MLP,24,0.9715115334632878,0.4377879715018953,0.42468654215062357,0.41672328045965495,0.9811170368128165,0.985655712051086
JADE-MLP,25,0.9834917153996101,0.6270664182680841,0.5348372798798832,0.5670594942055066,0.9869029100225492,0.9914576621346045
JADE-MLP,30,0.9832074398960365,0.5018388467379887,0.4635524753580043,0.4725835428792711,0.9821627987139747,0.9913385439677126
JADE-MLP,42,0.9818605154862466,0.5313108416062424,0.5003895500601022,0.5045847750770712,0.9723237769035961,0.9907866905644145
L-SHADE-MLP,10,0.971369395711501,0.42722287222007443,0.43464000037213396,0.39695588265772325,0.9748379681533113,0.9676029722065543
L-SHADE-MLP,11,0.982530593458956,0.4436859835300903,0.46862220971293106,0.45428184642340214,0.9740436516852721,0.9911555342114694
L-SHADE-MLP,12,0.9647430690924844,0.43807729665333345,0.4791733144988474,0.43656906601695855,0.9766467643740263,0.965263819821396
L-SHADE-MLP,15,0.9806624972926142,0.41401081210526786,0.4292469273440472,0.4209142878505256,0.9833192720655598,0.9901185291773054
L-SHADE-MLP,18,0.9772782651072124,0.4750563578184665,0.44992767095390257,0.45901557548735755,0.9626884353230406,0.9832461726743245
L-SHADE-MLP,21,0.9702864414121725,0.4366140339566132,0.44406961633247627,0.41297493976170124,0.9824810469640486,0.9737493432276322
L-SHADE-MLP,24,0.9781243231535628,0.5012795572537184,0.4655403633768163,0.46451695213390326,0.9612405389492275,0.9889405946566208
L-SHADE-MLP,25,0.9743339831059129,0.3892346744904502,0.41988009893517786,0.3980998572748275,0.9677636204036183,0.987161064959411
L-SHADE-MLP,30,0.9832074398960363,0.3598709808018894,0.4062141122147435,0.3749875555005049,0.9843775292531195,0.9915844638373882
L-SHADE-MLP,42,0.9660426142516787,0.46896889116688617,0.5069679153048904,0.42876740720516954,0.9806208039645559,0.968367620510891
PSO-MLP,10,0.9789906865930259,0.3969306670652637,0.3006189868385129,0.2972108482856882,0.9799572504616701,0.9890827688184408
PSO-MLP,11,0.9681882174572234,0.3401422183840515,0.41518191337997173,0.3634212373905589,0.9573269409099833,0.9694540017148076
PSO-MLP,12,0.9829096274637211,0.549574593372179,0.4878698521451408,0.4827780520321479,0.9854307094781213,0.9868412961710478
PSO-MLP,15,0.9775151613601905,0.43818451366137473,0.36657865087403185,0.34965490550286654,0.9823006842203501,0.9884593947977728
PSO-MLP,18,0.9712881741390512,0.35579992579049063,0.3118060360229514,0.32462099396697713,0.9546725992820689,0.9855318805370911
PSO-MLP,21,0.9717619666450078,0.4555683552126431,0.2948919462571488,0.30936976968455177,0.9420323574059566,0.9857805814043585
PSO-MLP,24,0.9023852068442713,0.39828096749356706,0.4350582928533544,0.33467043790338374,0.945259512136999,0.9320667344048897
PSO-MLP,25,0.9808790881524799,0.45908292178305143,0.47641340922247055,0.4372390320587431,0.9851157547773376,0.9821041782482225
PSO-MLP,30,0.9797487546025557,0.3930163699538672,0.40020653726418626,0.3892692510549122,0.980964520820517,0.9896862542893695
PSO-MLP,42,0.9617784816980723,0.4797757027101452,0.3955945040479995,0.36685290663671405,0.9778748686083278,0.9638821881923468
HPSO-TVAC-MLP,10,0.9824358349577649,0.43403783767945653,0.38896180277754056,0.39949801396497353,0.9838841413705038,0.9909344743318885
HPSO-TVAC-MLP,11,0.9640662226554039,0.3717279138888278,0.39427233045925103,0.3435704027286444,0.9500185456417212,0.9542981826473631
HPSO-TVAC-MLP,12,0.9728110786224821,0.3744927174015011,0.2953281782173655,0.306375350401868,0.9611180949613246,0.9861244289258942
HPSO-TVAC-MLP,15,0.977325644357808,0.43197401661490714,0.432999282471846,0.4298284771786667,0.9560448632635256,0.9885228615433793
HPSO-TVAC-MLP,18,0.9781107862248213,0.34048749726024696,0.4062150058560683,0.3638222044218106,0.9743784705413847,0.9888465922606762
HPSO-TVAC-MLP,21,0.9765946502057613,0.47576344436209955,0.42715478728042755,0.4292923112815033,0.9542717624856785,0.9881784609650793
HPSO-TVAC-MLP,24,0.9786928741607105,0.28966200282000165,0.28291336713059373,0.2757289680231839,0.9761286968459782,0.9890206212133327
HPSO-TVAC-MLP,25,0.9694606887589344,0.4731449214176851,0.44884027696503154,0.40777421087677396,0.9805556286676715,0.9685525696150842
HPSO-TVAC-MLP,30,0.9725064977257959,0.42778469482653647,0.4121189409864088,0.38218299118004917,0.9739793146794932,0.986051743430306
HPSO-TVAC-MLP,42,0.9720056313623565,0.2781830273514126,0.3112922710401172,0.2309078246206504,0.9630552905142954,0.9754953864668897
RW-GWO-MLP,10,0.9843310049815898,0.4772310192676466,0.5041273481393733,0.48582940389923057,0.9792251599411191,0.992120796213588
RW-GWO-MLP,11,0.9709700563136234,0.5658152561289574,0.5338793346428068,0.5391741867301366,0.9842543436765528,0.9699968178843438
RW-GWO-MLP,12,0.9805677387914229,0.4275963327320574,0.4561704052342315,0.431524114536084,0.9851640736415516,0.9900037795511824
RW-GWO-MLP,15,0.9794509421702404,0.4190191234889505,0.4013323132049335,0.40760417585750486,0.9725723360132399,0.9892997671794515
RW-GWO-MLP,18,0.9741106237816765,0.4698069529564984,0.4405686106061992,0.44530349209033165,0.9840966531461605,0.977106018778329
RW-GWO-MLP,21,0.9802563894303661,0.45554960263763,0.43076788054365567,0.4407549644858315,0.9655458956604762,0.9900143486546359
RW-GWO-MLP,24,0.9819282001299546,0.5597473805827744,0.5021089208958885,0.4888995766250895,0.9740963892283884,0.9908268832891425
