,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
ARO-MLP,20.8,9.964381008817803,0.8406860301780779,0.003881761829525547,0.5452657465901092,0.001056881497325219,0.5692898478290578,0.002015011624675243,0.5513880038225678,0.0010762030079014089,0.5692898478290578,0.002015011624675243,0.5452657465901092,0.001056881497325219
GBO-MLP,20.8,9.964381008817803,0.840332593230323,0.0023162143064385235,0.5447224310154782,0.0005105605604029192,0.5686019596559101,0.00222022018967513,0.550777955466252,0.0006452844833617503,0.5686019596559101,0.00222022018967513,0.5447224310154782,0.0005105605604029192
HPSO-TVAC-MLP,20.8,9.964381008817803,0.8394580633467761,0.0015416588031417027,0.5449782889704298,0.0005876307903296931,0.5696745073911937,0.002089716341290723,0.5511224285744241,0.0007550728641475465,0.5696745073911937,0.002089716341290723,0.5449782889704298,0.0005876307903296931
JADE-MLP,20.8,9.964381008817803,0.8390049390547827,0.0016149430005435858,0.5451301404735942,0.00035853024713292916,0.5702574003237328,0.0017264172668776776,0.5513158745321998,0.0004687224336227474,0.5702574003237328,0.0017264172668776776,0.5451301404735942,0.00035853024713292916
L-SHADE-MLP,20.8,9.964381008817803,0.8380941592278763,0.001107958646717069,0.545319434865582,0.0001894114446953149,0.5712275519292029,0.0010557888621000357,0.5515661345209009,0.00024430911683111033,0.5712275519292029,0.0010557888621000357,0.545319434865582,0.0001894114446953149
PSO-MLP,20.8,9.964381008817803,0.8412479043001495,0.011545143986195805,0.5463973362671435,0.001513010122173197,0.5707803959012685,0.007961806655298763,0.5523649075469165,0.0014511169154175923,0.5707803959012685,0.007961806655298763,0.5463973362671435,0.001513010122173197
RW-GWO-MLP,20.8,9.964381008817803,0.8389732203543432,0.0027186660344803927,0.5447935608147738,0.0006340826602749317,0.5696606960256725,0.002741722442702421,0.5508923348775318,0.0008184167345864191,0.5696606960256725,0.002741722442702421,0.5447935608147738,0.0006340826602749317
SMA-MLP,20.8,9.964381008817803,0.8393493135166976,0.007946278039841896,0.5445033038619004,0.0009805846558820592,0.5686773765738978,0.003997685041859061,0.5503312548234164,0.0009046149323785982,0.5686773765738978,0.003997685041859061,0.5445033038619004,0.0009805846558820592
